epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
83,91493.1,0.81005,0.72838,1.22914,0.02683,0.81687,0.67586,0.76915,0.57515,0.91405,0.89826,1.37367,0.03086,0.000124405,0.000124405,0.000124405
84,92607.8,0.78824,0.70751,1.21899,0.02574,0.81818,0.67959,0.77142,0.57777,0.90625,0.88463,1.36361,0.03048,0.000112795,0.000112795,0.000112795
85,93716.3,0.78392,0.69866,1.20252,0.02509,0.82519,0.68268,0.77056,0.5774,0.90365,0.88956,1.36024,0.03071,0.000101785,0.000101785,0.000101785
86,94835.1,0.79006,0.70489,1.22057,0.02666,0.78325,0.70641,0.76769,0.57495,0.90667,0.89768,1.36064,0.03069,9.13871e-05,9.13871e-05,9.13871e-05
87,95948.8,0.7821,0.6974,1.20808,0.02548,0.81657,0.68665,0.77037,0.57814,0.90608,0.89118,1.35958,0.03141,8.16111e-05,8.16111e-05,8.16111e-05
88,97058.6,0.7841,0.68854,1.20538,0.02554,0.81036,0.6845,0.77019,0.57677,0.90521,0.89446,1.36171,0.03056,7.24667e-05,7.24667e-05,7.24667e-05
89,98165.6,0.78256,0.69833,1.2121,0.02434,0.80618,0.68573,0.76945,0.57686,0.90552,0.89671,1.35972,0.03008,6.3963e-05,6.3963e-05,6.3963e-05
90,99269.9,0.77949,0.69091,1.20868,0.02549,0.79555,0.69486,0.77063,0.57868,0.90567,0.89077,1.36041,0.03075,5.61083e-05,5.61083e-05,5.61083e-05
91,100358,0.73253,0.61105,1.18725,0.02463,0.79845,0.69113,0.76643,0.57497,0.91148,0.89571,1.37039,0.03133,4.89104e-05,4.89104e-05,4.89104e-05
92,101451,0.72612,0.58724,1.17861,0.02589,0.79466,0.69754,0.77021,0.57533,0.90882,0.89678,1.36634,0.03073,4.23765e-05,4.23765e-05,4.23765e-05
93,102540,0.72596,0.58318,1.18097,0.02539,0.79469,0.69432,0.76794,0.57531,0.90761,0.89942,1.36462,0.03126,3.65129e-05,3.65129e-05,3.65129e-05
94,103629,0.71991,0.57544,1.17109,0.02583,0.80489,0.68737,0.76829,0.57466,0.91,0.90338,1.36677,0.03081,3.13254e-05,3.13254e-05,3.13254e-05
95,104717,0.72252,0.58463,1.17294,0.02478,0.78782,0.70466,0.76845,0.57444,0.90716,0.89953,1.36476,0.03086,2.68192e-05,2.68192e-05,2.68192e-05
96,105811,0.7193,0.5747,1.17535,0.02528,0.79407,0.69437,0.76653,0.57488,0.90457,0.8998,1.36199,0.03034,2.29987e-05,2.29987e-05,2.29987e-05
97,106902,0.71962,0.57455,1.16403,0.02447,0.79862,0.69256,0.7671,0.57585,0.90335,0.89848,1.35958,0.03026,1.98677e-05,1.98677e-05,1.98677e-05
98,107991,0.71958,0.57751,1.17404,0.02491,0.79225,0.69262,0.76567,0.57398,0.90625,0.89945,1.36128,0.02972,1.74293e-05,1.74293e-05,1.74293e-05
99,109078,0.71765,0.57559,1.17454,0.02581,0.78484,0.70569,0.76896,0.57514,0.90276,0.89566,1.35967,0.03021,1.56858e-05,1.56858e-05,1.56858e-05
100,110164,0.71022,0.5666,1.16366,0.02494,0.79881,0.69363,0.76648,0.57447,0.90443,0.89632,1.35914,0.03078,1.4639e-05,1.4639e-05,1.4639e-05
