epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
88,27765.5,0.99832,0.98175,1.31026,0.03318,0.69726,0.58542,0.66177,0.45912,1.0866,1.1773,1.41725,0.03912,0.000198202,0.000198202,0.000198202
89,28101.6,0.99141,0.99839,1.31385,0.03234,0.69138,0.59914,0.66475,0.46361,1.08091,1.17533,1.41357,0.0397,0.000184055,0.000184055,0.000184055
90,28439,0.98871,0.98065,1.30921,0.03268,0.66628,0.60594,0.66393,0.46225,1.08191,1.17265,1.41571,0.03928,0.000169908,0.000169908,0.000169908
91,28760.7,0.95007,0.91337,1.3001,0.03387,0.72515,0.58112,0.65553,0.4537,1.08904,1.18709,1.42575,0.03945,0.000155761,0.000155761,0.000155761
92,29083.2,0.93992,0.88455,1.28878,0.03445,0.71299,0.58701,0.66672,0.4621,1.0925,1.16413,1.42322,0.03936,0.000141614,0.000141614,0.000141614
93,29406.4,0.94271,0.8766,1.28969,0.03439,0.68448,0.59814,0.66393,0.46545,1.07941,1.16346,1.41411,0.0379,0.000127467,0.000127467,0.000127467
94,29728.8,0.93036,0.86625,1.27416,0.0344,0.71217,0.5795,0.66009,0.4619,1.08496,1.17271,1.42525,0.03769,0.00011332,0.00011332,0.00011332
95,30050.7,0.93277,0.87014,1.27621,0.03296,0.70826,0.58558,0.66364,0.4645,1.07926,1.16764,1.41372,0.0387,9.91726e-05,9.91726e-05,9.91726e-05
96,30373.5,0.92666,0.85585,1.27151,0.03383,0.70375,0.58706,0.66497,0.46483,1.07723,1.15867,1.41331,0.03855,8.50255e-05,8.50255e-05,8.50255e-05
97,30693.2,0.92497,0.84967,1.26591,0.03282,0.71206,0.58148,0.66624,0.46495,1.07682,1.16115,1.41542,0.03831,7.08784e-05,7.08784e-05,7.08784e-05
98,31015.2,0.92357,0.84676,1.27163,0.03304,0.72158,0.57882,0.66861,0.46869,1.07538,1.15678,1.41402,0.03848,5.67313e-05,5.67313e-05,5.67313e-05
99,31339.3,0.91959,0.84853,1.27446,0.03351,0.71359,0.59229,0.6731,0.47089,1.07373,1.14517,1.41263,0.03802,4.25842e-05,4.25842e-05,4.25842e-05
100,31662,0.91784,0.84252,1.26635,0.03294,0.70215,0.59133,0.66928,0.46807,1.07562,1.15586,1.41394,0.03788,2.84371e-05,2.84371e-05,2.84371e-05
